transaction_id,source,timestamp,vehicle_model_id,price
1,Photobug,04/23/2018,Passat,173799
2,Blogspan,12/12/2018,GTI,268665
3,Skajo,12/27/2018,Aerio,498097
4,Gigashots,03/23/2018,X-Type,428821
5,Trudoo,03/22/2018,Malibu,143920
6,BlogXS,08/06/2018,Custom Cruiser,349141
7,Chatterpoint,06/29/2018,Avalon,131556
8,Twitterbeat,03/16/2018,Edge,419531
9,Mynte,07/06/2018,Continental Super,408117
10,Skimia,12/30/2018,Vibe,262140
11,Skinix,11/17/2018,Truck,341280
12,Meetz,11/06/2018,Ram 1500,303493
13,Realpoint,07/03/2018,Hombre,151633
14,Abata,07/19/2018,Elantra,307166
15,Bubblemix,12/06/2018,X-Type,220770
16,Thoughtstorm,08/28/2018,Legacy,165365
17,Oyondu,06/04/2018,Grand Marquis,126546
18,Thoughtstorm,06/12/2018,A4,401797
19,Divavu,06/24/2018,Crown Victoria,287530
20,Shufflebeat,05/24/2018,Sierra 3500,344986
21,Dynava,02/21/2018,Titan,291681
22,Aivee,06/22/2018,Camaro,467864
23,Youfeed,10/16/2018,911,286326
24,Yozio,08/17/2018,Sportage,458649
25,Quinu,03/04/2018,Insight,264383
26,Voonder,12/21/2018,Mustang,452511
27,Tagcat,12/16/2018,E150,483038
28,Divanoodle,05/30/2018,Golf,392235
29,Realcube,10/29/2018,Forester,355615
30,Livefish,01/27/2018,Camry,338647
31,Jamia,09/27/2018,Tribute,117795
32,LiveZ,02/27/2018,Escalade ESV,483891
33,Rhybox,04/22/2018,Esteem,105068
34,Plajo,02/07/2018,Accord,144890
35,Plambee,08/07/2018,599 GTB Fiorano,493613
36,Jetpulse,01/08/2018,LTD,492862
37,Mymm,02/14/2018,Grand Prix,151056
38,Bluezoom,04/19/2018,Jetta,202201
39,Brightdog,06/26/2018,Sierra 3500,193775
40,Tagchat,06/20/2018,Passport,360566
41,InnoZ,06/12/2018,1500,204304
42,Twimbo,12/17/2018,Aztek,161978
43,Skivee,08/08/2018,Altima,143928
44,Kwinu,10/29/2018,Grand Cherokee,227800
45,Trudoo,07/10/2018,Cutlass Supreme,171345
46,Skyvu,03/16/2018,X3,288814
47,Topicstorm,06/24/2018,Fiesta,281823
48,Meedoo,03/05/2018,MDX,442648
49,Centimia,06/27/2018,Suburban 1500,401416
50,Yombu,09/16/2018,Club Wagon,481864
51,Edgeclub,08/11/2018,ZX2,190903
52,Roombo,01/23/2018,Concorde,254644
53,Zoombeat,12/01/2018,L-Series,114698
54,Youspan,03/06/2018,Allroad,183436
55,Tagcat,01/28/2018,M-Class,230763
56,Meemm,07/05/2018,CR-V,217061
57,Realcube,08/31/2018,Cooper Clubman,329894
58,Brightbean,08/24/2018,745,344431
59,Realbridge,05/22/2018,E-Class,352148
60,Nlounge,06/09/2018,Taurus,405784
61,Brainlounge,04/06/2018,A4,384736
62,Yacero,07/16/2018,TL,337181
63,Photojam,02/07/2018,200,490437
64,Skinix,12/18/2018,Murano,314539
65,Wikizz,10/31/2018,S-Type,442354
66,Flipopia,01/31/2018,Civic Si,126306
67,Skivee,03/27/2018,TSX,362426
68,Dabfeed,06/08/2018,S6,267722
69,Bluejam,07/18/2018,F-Series,139953
70,Skimia,08/04/2018,B-Series,381379
71,Realpoint,05/15/2018,300M,376936
72,Dynazzy,12/21/2018,1500,324212
73,Twitterworks,12/31/2018,Passport,415132
74,Trunyx,09/30/2018,Sierra 2500,468108
75,Tanoodle,04/03/2018,Xtra,399710
76,Tazz,04/24/2018,Malibu,313368
77,Vinder,07/28/2018,FX,111035
78,Babbleblab,06/27/2018,Voyager,342864
79,Cogibox,08/19/2018,Century,451037
80,Twiyo,01/07/2018,CTS,427120
81,Lazzy,02/02/2018,Camry Solara,253151
82,Jatri,09/14/2018,Galant,297113
83,Yakitri,02/26/2018,Skylark,209570
84,Babblestorm,05/02/2018,Voyager,190467
85,Roodel,07/07/2018,XL7,153235
86,Pixope,01/19/2018,CTS,395483
87,Devshare,03/08/2018,F250,480822
88,Aibox,11/21/2018,626,286304
89,Kwideo,07/24/2018,Seville,229668
90,Youfeed,05/16/2018,9000,140581
91,BlogXS,08/02/2018,MX-6,309508
92,Skimia,09/28/2018,Passat,475015
93,Yabox,07/29/2018,E-Class,497387
94,Riffpath,09/08/2018,Freelander,162984
95,Wikido,11/17/2018,Veloster,166101
96,Cogilith,07/11/2018,F150,149723
97,Viva,07/06/2018,IS,449776
98,Bubblemix,02/02/2018,Econoline E250,133300
99,Gevee,01/10/2018,Aspire,466420
100,Voolia,08/15/2018,Outback,200779
101,Tagchat,04/18/2018,Suburban 2500,228483
102,Gabspot,11/25/2018,3500 Club Coupe,196610
103,Topiczoom,11/28/2018,Outlook,470026
104,Minyx,09/21/2018,E250,154578
105,Meedoo,10/27/2018,Odyssey,495576
106,Agimba,04/06/2018,C30,342329
107,Twitterworks,05/07/2018,Escape,397403
108,Jetpulse,08/26/2018,62,475062
109,Camimbo,02/09/2018,Mountaineer,110563
110,Realcube,03/28/2018,Lanos,204661
111,Fivespan,11/27/2018,Astro,129513
112,Vitz,03/29/2018,Challenger,157150
113,Yamia,01/05/2018,S-Class,291132
114,Geba,07/13/2018,Continental GTC,206481
115,Meevee,02/22/2018,90,255489
116,Dabtype,07/15/2018,Corvette,462723
117,Latz,12/24/2018,Diamante,134512
118,Tagtune,11/29/2018,Land Cruiser,101909
119,Jabbersphere,12/04/2018,600SEL,431471
120,Quatz,08/07/2018,STS,109841
121,Babbleopia,09/24/2018,Seville,396496
122,Jaxbean,05/17/2018,Montana,451983
123,Wordtune,02/24/2018,Solara,350051
124,Rhynyx,01/09/2018,XLR-V,236846
125,Devcast,07/25/2018,Firefly,446063
126,Skipstorm,12/18/2018,Durango,247056
127,Skimia,09/03/2018,Durango,436923
128,Riffwire,08/08/2018,Aerio,466525
129,Voonder,10/14/2018,Durango,252523
130,Brightdog,07/15/2018,MPV,243057
131,Dabtype,11/21/2018,Mighty Max,247632
132,Jabberstorm,05/01/2018,Continental,190046
133,Browsedrive,05/07/2018,GTI,150248
134,Teklist,06/29/2018,M5,183927
135,Kayveo,12/08/2018,Z4,264135
136,Eazzy,04/18/2018,Bronco,420639
137,Meevee,02/24/2018,Mountaineer,202488
138,Aimbo,08/31/2018,350Z,251882
139,Eidel,09/30/2018,Bonneville,250507
140,Yodel,09/29/2018,S-Series,286075
141,Trilia,09/16/2018,Carens,197928
142,Buzzbean,03/08/2018,Yukon,288863
143,Yakidoo,01/30/2018,3000GT,231208
144,Tazzy,10/27/2018,E-Series,368888
145,Fivebridge,05/28/2018,Eurovan,219085
146,Photobug,08/11/2018,Z4,373999
147,Camido,08/09/2018,Diamante,145358
148,Yodo,04/12/2018,Town & Country,495332
149,Browsebug,04/13/2018,Suburban 2500,266805
150,Abata,02/11/2018,Continental Mark VII,412833
151,BlogXS,08/11/2018,Spirit,149275
152,Brightdog,02/26/2018,F250,302358
153,Bubblebox,06/16/2018,Avanti,294747
154,Twitterworks,03/22/2018,Galant,434636
155,Plajo,05/28/2018,ES,210879
156,Oyoyo,01/18/2018,Tribute,244829
157,Tanoodle,11/30/2018,98,408255
158,Wordpedia,11/26/2018,Accord,353109
159,Jayo,05/12/2018,Cherokee,179741
160,Twitternation,02/03/2018,S-Series,151984
161,Izio,11/08/2018,Frontier,167009
162,Tekfly,05/05/2018,F250,288516
163,Topdrive,09/24/2018,XC70,424149
164,Browsedrive,06/12/2018,Corvette,461795
165,Jazzy,11/19/2018,Alcyone SVX,385468
166,Abata,12/31/2018,Equator,329204
167,Youfeed,10/13/2018,Silverado 1500,140037
168,Oyope,10/04/2018,Dakota Club,222239
169,Shuffledrive,05/01/2018,57,257983
170,Livefish,02/13/2018,Yukon XL 2500,224861
171,Mydeo,10/19/2018,Sunbird,491876
172,Feedfish,04/21/2018,Lanos,117491
173,Wordtune,11/19/2018,Caliber,147835
174,Wikibox,01/17/2018,Savana 2500,298657
175,Edgeblab,11/26/2018,F150,160096
176,Livepath,05/29/2018,1500,228750
177,Photolist,10/09/2018,A6,105420
178,Plambee,08/09/2018,Silverado 3500,323205
179,Mydo,06/22/2018,Tahoe,269133
180,Leenti,12/30/2018,Savana 1500,189236
181,Linkbridge,08/04/2018,Town Car,153119
182,Youfeed,01/24/2018,Grand Caravan,124438
183,Meevee,11/09/2018,Murciélago,291462
184,Mydeo,11/10/2018,TL,416756
185,Demizz,03/08/2018,S10,350700
186,Topicware,09/16/2018,Pathfinder,105014
187,Geba,12/06/2018,HHR Panel,333645
188,Pixonyx,09/04/2018,V40,118009
189,Meeveo,07/23/2018,Daewoo Magnus,435620
190,Quaxo,04/06/2018,Maxima,148773
191,Bubblemix,10/30/2018,4Runner,332452
192,Browsetype,05/21/2018,Silhouette,297881
193,Pixoboo,06/28/2018,LaCrosse,141091
194,Feedmix,02/03/2018,Express 1500,324917
195,Topicblab,04/16/2018,Crown Victoria,127733
196,Shufflebeat,10/21/2018,Continental,256742
197,Minyx,05/21/2018,RS4,100688
198,Livefish,06/01/2018,Esprit,347382
199,Kimia,02/22/2018,MKS,355607
200,Devpulse,07/22/2018,F-Series,271028
201,Skipstorm,09/17/2018,SL-Class,125505
202,Tagopia,11/03/2018,E-Class,124810
203,Buzzdog,01/16/2018,Tempo,290974
204,Blogtags,06/14/2018,Cavalier,478381
205,Youtags,04/02/2018,CR-X,240712
206,Eabox,06/13/2018,240SX,157094
207,Quire,12/17/2018,del Sol,298931
208,Topicware,05/19/2018,Mazda3,491605
209,Yakijo,07/23/2018,Mustang,198705
210,Flipbug,03/20/2018,Vibe,331388
211,Tazzy,01/13/2018,Grand Am,456726
212,Cogibox,06/08/2018,Corolla,438934
213,Livepath,03/07/2018,Volt,338340
214,Topdrive,06/16/2018,Azure,397465
215,Buzzbean,10/11/2018,Ram 2500,241745
216,Vitz,03/14/2018,Probe,144314
217,Midel,07/13/2018,Sierra 3500,452641
218,Eamia,09/28/2018,Highlander,147578
219,Rhybox,12/27/2018,Mighty Max,498001
220,Skyble,08/29/2018,Sierra 1500,382204
221,Roodel,09/06/2018,S10,421112
222,Demimbu,05/22/2018,Passat,480824
223,Meetz,03/13/2018,400E,374662
224,Photobug,03/25/2018,626,152631
225,Wikivu,04/09/2018,Eclipse,369850
226,Wordtune,12/08/2018,Ram Van 1500,341921
227,Rooxo,03/14/2018,Aerio,188040
228,Dabvine,01/03/2018,EX,416913
229,Thoughtblab,03/17/2018,Sentra,289609
230,Tagpad,11/11/2018,Veloster,256330
231,Fivebridge,08/30/2018,Explorer Sport Trac,214727
232,Thoughtstorm,05/14/2018,Bronco II,386726
233,Avavee,03/25/2018,E-Class,129830
234,Skinder,02/11/2018,M-Class,423431
235,Bubblebox,09/25/2018,Fusion,384873
236,Twitterworks,04/06/2018,XC90,360399
237,Voonix,06/23/2018,Grand Prix,318342
238,Feednation,02/12/2018,3 Series,284923
239,Rhynoodle,11/11/2018,Cavalier,477128
240,Quinu,11/28/2018,Suburban 1500,323726
241,Fivechat,06/06/2018,Windstar,104547
242,Jaxbean,01/12/2018,Colt,346124
243,Podcat,10/04/2018,Edge,466513
244,Wordtune,03/26/2018,Ipsum,320993
245,Yotz,10/05/2018,S60,152565
246,Yadel,11/19/2018,Lancer Evolution,461974
247,Jabbercube,01/24/2018,Amigo,249108
248,Dabjam,06/29/2018,Suburban 1500,136951
249,Devify,04/28/2018,B-Series Plus,375388
250,Innotype,10/23/2018,Ram Wagon B150,223174
251,Realcube,06/11/2018,80,195944
252,Zoombox,11/26/2018,GS,397054
253,Thoughtsphere,10/12/2018,Elantra,348411
254,Eayo,11/14/2018,Fifth Ave,334597
255,Oloo,08/28/2018,Quest,130330
256,Fliptune,11/20/2018,5 Series,290176
257,Ntags,12/23/2018,Colorado,413359
258,Jabbercube,04/23/2018,Boxster,416266
259,Voonyx,12/14/2018,500SL,169456
260,Innojam,11/13/2018,370Z,280979
261,Rooxo,07/12/2018,Mazda6,232081
262,Flashspan,08/01/2018,Tiburon,189332
