transaction_id,timestamp,vehicle_model_id,price
1,06/08/2018,Pajero,233389
2,12/02/2018,Evora,352570
3,01/16/2018,Focus,202443
4,09/30/2018,Tundra,190166
5,09/24/2018,Sorento,490054
6,08/30/2018,Ram Van 1500,350643
7,11/14/2018,300,275197
8,11/18/2018,DB9,379505
9,04/24/2018,Elantra,244423
10,12/05/2018,Express 2500,236268
11,08/22/2018,Colorado,485766
12,09/16/2018,Outlander,348820
13,04/19/2018,Boxster,244575
14,01/05/2018,Sable,244375
15,07/31/2018,Cabriolet,478345
16,09/23/2018,Lumina,303446
17,12/06/2018,Sierra 2500,334115
18,01/27/2018,Forester,421186
19,11/10/2018,626,447661
20,08/17/2018,Beretta,398593
21,12/23/2018,Gallardo,226705
22,01/17/2018,Vandura 2500,364158
23,09/28/2018,Suburban 1500,435030
24,01/19/2018,CR-Z,454648
25,09/06/2018,Impala,103940
26,12/09/2018,C8,296426
27,09/13/2018,Outback,145013
28,02/07/2018,Impreza,214201
29,06/13/2018,Celica,493681
30,09/09/2018,Skyhawk,314599
31,08/13/2018,Quattroporte,173718
32,08/06/2018,Highlander,387595
33,02/01/2018,Viper,263910
34,04/27/2018,Viper,261820
35,04/26/2018,Alcyone SVX,103761
36,03/01/2018,PT Cruiser,213142
37,06/01/2018,Celica,351864
38,04/18/2018,SC,334332
39,11/06/2018,Prius,233247
40,08/08/2018,Montero Sport,448091
41,12/16/2018,Grand Vitara,497330
42,04/27/2018,Durango,429215
43,08/30/2018,Dakota Club,487470
44,01/03/2018,LeSabre,365341
45,11/27/2018,Contour,177494
46,03/22/2018,Escalade ESV,376917
47,10/09/2018,Mazda3,443444
48,04/06/2018,911,242540
49,01/09/2018,Chariot,359020
50,12/31/2018,Malibu,165737
51,10/26/2018,CX-9,457600
52,08/06/2018,S10,278013
53,08/19/2018,Outback,334136
54,03/26/2018,DTS,232202
55,07/13/2018,Excursion,170190
56,06/15/2018,300,308105
57,07/19/2018,Probe,327944
58,02/10/2018,Tempo,434643
59,05/15/2018,Sunfire,205751
60,12/05/2018,Escort,102072
61,02/22/2018,Fiero,265156
62,08/04/2018,Concorde,102018
63,06/04/2018,Park Avenue,180745
64,09/20/2018,E-Class,272898
65,08/14/2018,Maxima,251527
66,10/19/2018,M3,445686
67,03/14/2018,SLS AMG,429847
68,12/01/2018,F250,325747
69,09/29/2018,Hearse,359023
70,08/06/2018,Mark VIII,345764
71,07/18/2018,S-Class,309794
72,09/28/2018,Sedona,408790
73,04/22/2018,Seville,220909
74,03/08/2018,Bronco II,337366
75,08/20/2018,G35,146931
76,03/31/2018,Azure,385354
77,01/01/2018,Camaro,111989
78,09/11/2018,Avalanche,277358
79,06/30/2018,Camry,293785
80,12/20/2018,B-Series,241357
81,12/19/2018,5000CS,177944
82,11/29/2018,LR3,296947
83,10/14/2018,Topaz,394626
84,09/26/2018,Quest,436959
85,09/15/2018,1000,493817
86,04/29/2018,RX,401267
87,07/14/2018,FR-S,305781
88,05/08/2018,RX-8,254406
89,02/13/2018,RX,124342
90,01/01/2018,350Z Roadster,452040
91,07/12/2018,911,461728
92,05/26/2018,350Z Roadster,403296
93,01/12/2018,Bronco,301438
94,04/29/2018,CR-V,131311
95,04/13/2018,M5,445285
96,07/03/2018,Sierra 1500,362403
97,04/22/2018,Silverado 3500,128894
98,05/05/2018,Odyssey,379480
99,06/13/2018,SLK55 AMG,292542
100,05/02/2018,riolet,419019
101,01/21/2018,Intrepid,425421
102,09/15/2018,240SX,222864
103,07/28/2018,Tracer,383228
104,11/24/2018,Tacoma,140133
105,12/26/2018,Durango,481827
106,03/26/2018,Justy,315319
107,07/27/2018,LHS,257938
108,07/05/2018,Freelander,456270
109,11/01/2018,Esteem,148746
110,09/08/2018,Tahoe,163186
111,02/13/2018,Camry,122227
112,07/03/2018,F250,478191
113,02/06/2018,SJ,119793
114,01/17/2018,Tribute,129719
115,07/02/2018,Diamante,301833
116,05/01/2018,Crossfire,483627
117,12/03/2018,9-5,432738
118,06/06/2018,F-Series,186648
119,07/19/2018,GT-R,344288
120,06/25/2018,Fifth Ave,296897
121,09/21/2018,XJ,408750
122,05/07/2018,Elantra,100366
123,03/16/2018,Bronco II,226556
124,07/02/2018,599 GTB Fiorano,317403
125,11/06/2018,MKX,246256
126,04/02/2018,Murano,152986
127,04/05/2018,CL,449356
128,08/09/2018,Contour,398785
129,02/14/2018,600SEL,375161
130,08/15/2018,Sorento,306137
131,08/23/2018,E-Series,390500
132,03/15/2018,Caravan,154622
133,07/28/2018,Sparrow,410620
134,04/29/2018,MP4-12C,314907
135,08/13/2018,Rio,220070
136,07/27/2018,XK Series,365731
137,01/13/2018,CR-V,390439
138,06/11/2018,MX-6,352464
139,09/04/2018,RX,144730
140,05/01/2018,Q,477535
141,09/26/2018,Freelander,176424
142,02/02/2018,Frontier,460289
143,12/15/2018,Diablo,445215
144,04/21/2018,3500 Club Coupe,354696
145,10/14/2018,Montero,462191
146,10/20/2018,VUE,266784
147,02/16/2018,Econoline E150,129798
148,09/20/2018,Brat,413810
149,11/22/2018,Monte Carlo,162758
150,04/12/2018,Pajero,370836
151,10/22/2018,Prizm,485743
152,01/12/2018,RDX,445191
153,11/28/2018,Pajero,432168
154,05/31/2018,Pajero,403429
155,10/30/2018,Suburban 2500,432726
156,06/28/2018,Navigator,348786
157,09/10/2018,Pajero,400262
158,02/01/2018,Cutlass Supreme,386258
159,01/27/2018,Escalade,300082
160,11/07/2018,760,420567
161,08/28/2018,Town & Country,133340
162,10/16/2018,Patriot,288112
163,10/26/2018,V70,455773
164,11/14/2018,SSR,494471
165,11/14/2018,57,317196
166,11/17/2018,5 Series,470942
167,01/09/2018,LeMans,337898
168,11/25/2018,80,382704
169,01/15/2018,3 Series,267362
170,06/27/2018,Touareg,454753
171,07/13/2018,LX,411325
172,11/17/2018,G25,321304
173,03/23/2018,E-Class,111547
174,04/28/2018,Prelude,222497
175,06/05/2018,Bronco II,130601
176,08/31/2018,Prelude,286103
177,03/07/2018,Sigma,285915
178,07/03/2018,Allante,416804
179,06/19/2018,S4,472931
180,12/29/2018,Yukon XL 2500,445634
181,03/11/2018,Avenger,471153
182,03/04/2018,9000,123854
183,03/30/2018,Mustang,357172
184,12/22/2018,Volt,238191
185,08/09/2018,Sierra 1500,476213
186,07/05/2018,F150,230419
187,01/05/2018,Challenger,169504
188,10/09/2018,NSX,242365
189,11/23/2018,CC,222301
190,09/01/2018,Land Cruiser,244797
191,09/03/2018,Maxima,421910
192,06/07/2018,Diablo,162811
193,09/20/2018,Lumina APV,233394
194,12/05/2018,Range Rover,441620
195,02/11/2018,Pajero,188168
196,12/17/2018,M5,435573
197,04/16/2018,Grand Prix,191965
198,11/08/2018,Yukon Denali,156219
199,10/02/2018,Amigo,317342
200,04/29/2018,Celica,411495
201,11/23/2018,Aerostar,150046
202,05/02/2018,Golf,447830
203,11/10/2018,LR3,171306
204,09/05/2018,E-Series,458689
205,11/08/2018,Riviera,165810
206,07/15/2018,Savana 3500,168863
207,03/03/2018,Cayman,306547
208,08/13/2018,M3,217815
209,02/12/2018,Accent,115110
210,09/10/2018,Cobalt,286728
211,04/27/2018,Escort,399917
212,11/14/2018,GTI,221269
213,07/18/2018,Challenger,401614
214,04/22/2018,Civic,162556
215,08/19/2018,Avalanche 1500,329646
216,05/29/2018,Ram 2500,312622
217,11/01/2018,xB,108018
218,01/18/2018,Grand Prix,271009
219,08/03/2018,Suburban 1500,383714
220,01/04/2018,Q5,363066
221,06/19/2018,Explorer,226064
222,02/02/2018,Insight,143127
223,06/08/2018,626,357875
224,10/15/2018,Range Rover,140194
225,09/17/2018,Mazda3,208581
226,03/24/2018,Prizm,151686
227,07/11/2018,Dakota,349896
228,07/24/2018,Equinox,290043
229,02/07/2018,G6,201874
230,12/11/2018,E150,134509
231,02/16/2018,Miata MX-5,374823
232,10/17/2018,Caravan,264953
233,11/01/2018,V50,453994
234,08/22/2018,LS,460515
235,09/27/2018,Murciélago,232089
236,07/19/2018,Sebring,284602
237,01/26/2018,Passat,383682
238,08/27/2018,Colt,109194
239,05/13/2018,Grand Caravan,221264
240,05/01/2018,Leganza,366504
241,04/18/2018,Ram Van 3500,178253
242,06/25/2018,GLC,171405
243,08/10/2018,LeMans,488349
244,06/11/2018,A4,474102
245,03/09/2018,Ram 1500,248021
246,01/15/2018,Freestyle,222338
247,12/19/2018,VUE,423186
248,06/30/2018,Suburban 2500,493320
249,07/22/2018,Legacy,339134
250,07/10/2018,Silverado 1500,222336
251,06/18/2018,Montana,295466
252,12/14/2018,9-5,235473
253,07/26/2018,Tracker,413590
254,10/01/2018,SLS-Class,149668
255,07/23/2018,458 Italia,370849
256,12/13/2018,Aero 8,445327
257,04/03/2018,Legacy,419003
258,09/04/2018,MPV,354506
259,02/01/2018,Accent,258622
260,08/15/2018,Eurovan,247306
261,07/05/2018,Firebird,440518
262,05/07/2018,Cayenne,393738
263,08/01/2018,Starion,148784
264,04/21/2018,Ram 1500,181079
265,10/21/2018,Golf,495842
266,02/22/2018,M3,402322
267,09/13/2018,F-Series,456524
268,09/12/2018,Explorer,365562
269,12/12/2018,Probe,349808
270,06/16/2018,Escape,385870
271,11/15/2018,80/90,163661
272,11/07/2018,Mazdaspeed 3,279784
273,03/19/2018,Corvette,417486
274,09/02/2018,Grand Vitara,222579
275,11/20/2018,Camaro,308566
276,12/19/2018,Cruze,339526
277,03/03/2018,Sunbird,173650
278,08/19/2018,Sentra,247572
279,10/28/2018,A6,352275
280,09/17/2018,Sidekick,112568
281,01/02/2018,Boxster,311192
282,03/10/2018,VUE,203957
283,08/11/2018,DeVille,111340
284,09/15/2018,88,454446
285,11/29/2018,Sable,410775
286,11/22/2018,TL,416924
287,06/15/2018,Tacoma Xtra,242043
288,11/06/2018,Taurus X,237886
289,09/12/2018,Monza,203487
290,04/15/2018,Chariot,426186
291,04/14/2018,Montego,415553
292,01/06/2018,Navigator,457308
